"","x1_department","x2_salary","x3_timecompany","x4_promotion5yr","x5_workaccident","x6_workhours","x7_nprojects","x8_lasteval","x9_satisflevel","y_empleft"
"88","sales","low",3,0,0,132,2,45,44,1
"89","sales","low",3,0,0,130,2,57,37,1
"90","sales","low",4,0,0,291,6,79,10,1
"91","sales","low",3,0,0,130,2,50,40,1
"92","sales","low",5,0,0,246,5,100,89,1
"93","sales","low",3,0,0,143,2,48,42,1
"94","sales","low",3,0,0,129,2,55,46,1
"95","sales","low",4,0,0,255,6,83,9,1
"96","sales","low",3,0,0,155,2,51,37,1
"97","sales","low",4,0,0,265,6,77,10,1
"98","sales","low",4,0,0,279,6,84,10,1
"99","sales","low",4,0,0,284,6,97,11,1
"100","sales","medium",6,0,0,221,5,100,90,1
"101","sales","medium",3,0,0,154,2,52,38,1
"102","sales","medium",3,0,0,147,2,52,36,1
"103","sales","medium",3,0,0,150,2,46,42,1
"104","sales","medium",4,0,0,267,7,94,9,1
"105","sales","medium",3,0,0,158,2,52,43,1
"106","accounting","medium",5,0,0,224,7,46,24,1
"107","accounting","medium",5,0,0,257,4,100,91,1
"108","accounting","medium",3,0,0,148,2,50,44,1
"109","hr","medium",4,0,0,177,3,87,71,1
"110","hr","medium",3,0,0,155,2,49,40,1
"111","hr","medium",3,0,0,144,2,47,43,1
"112","hr","high",4,0,0,289,6,85,9,1
"113","technical","low",3,0,0,160,2,52,43,1
"114","technical","medium",5,0,0,258,4,96,90,1
"115","technical","medium",5,0,0,234,5,100,84,1
"116","technical","medium",3,0,0,137,2,48,37,1
"117","technical","medium",2,0,0,263,5,68,86,1
"118","technical","low",4,0,0,251,6,84,11,1
"119","technical","low",3,0,0,133,2,57,37,1
"120","technical","low",3,0,0,132,2,46,40,1
"121","technical","low",4,0,1,158,4,62,14,1
"122","technical","low",3,0,0,135,2,46,40,1
"123","technical","low",6,0,0,216,4,100,75,1
"124","support","low",5,0,1,300,6,84,11,1
"125","support","low",3,0,0,138,2,49,46,1
"126","support","low",4,0,0,260,6,92,11,1
"127","support","low",3,0,0,132,2,49,38,1
"128","support","low",5,0,0,183,3,89,70,1
"129","support","low",4,0,0,250,6,82,9,1
"130","support","low",3,0,0,151,2,45,37,1
"131","support","low",4,0,0,292,6,83,10,1
"132","support","low",3,0,0,140,2,57,38,1
"133","support","low",5,0,0,221,5,100,90,1
"134","support","low",3,0,0,138,2,51,44,1
"135","technical","low",3,0,0,132,2,50,36,1
"136","technical","low",5,0,0,133,7,84,31,1
"137","technical","low",4,0,1,283,6,84,10,1
"138","management","low",3,0,0,129,2,48,42,1
"139","IT","low",5,0,0,249,4,100,74,1
"140","IT","low",5,0,0,257,5,87,73,1
"141","IT","low",4,0,0,245,6,96,9,1
"142","IT","low",3,0,0,155,2,53,45,1
"143","IT","low",4,0,0,256,6,80,11,1
"144","product_mng","low",3,0,0,152,2,47,37,1
"145","product_mng","low",5,0,0,267,4,99,84,1
"146","product_mng","low",3,0,0,151,2,46,41,1
"147","product_mng","low",5,0,0,239,4,92,76,1
"148","IT","low",4,0,0,306,6,87,11,1
"149","marketing","low",5,0,1,263,4,88,84,1
"150","marketing","low",3,0,0,147,2,50,39,1
"151","marketing","low",4,0,0,278,6,91,11,1
"152","marketing","low",3,0,0,154,2,56,45,1
"153","marketing","low",3,0,0,143,2,52,37,1
"154","marketing","low",3,0,0,155,2,52,40,1
"155","sales","low",3,0,0,160,2,48,39,1
"156","accounting","low",4,0,0,304,6,80,11,1
"157","support","low",5,0,0,240,5,100,83,1
"158","technical","low",4,0,0,305,6,92,11,1
"159","management","low",3,0,0,136,2,50,39,1
"160","marketing","low",3,0,0,132,2,45,45,1
"161","marketing","low",4,0,0,301,7,95,10,1
"162","marketing","low",6,0,0,243,5,98,90,1
"163","sales","low",3,0,0,147,2,51,45,1
"164","sales","low",5,0,0,239,5,89,79,1
"165","sales","low",5,0,0,260,5,99,90,1
"166","sales","low",4,0,0,296,7,84,11,1
"167","sales","low",3,0,0,129,2,55,43,1
"168","sales","low",5,0,0,132,5,54,31,1
"169","sales","low",5,0,0,135,2,50,32,1
"170","sales","low",3,0,0,158,2,57,45,1
"171","sales","low",5,0,0,259,4,99,81,1
"172","sales","low",3,1,0,160,2,46,41,1
"173","sales","low",4,0,0,278,7,78,11,1
"174","sales","low",4,0,0,284,6,88,10,1
"175","sales","low",4,0,0,274,2,53,70,1
"176","sales","low",2,0,0,164,4,74,54,1
"177","sales","low",3,0,0,148,2,48,41,1
"178","sales","medium",3,0,0,140,2,50,38,1
"179","sales","medium",3,0,0,127,2,51,37,1
"180","sales","medium",5,0,0,308,6,85,11,1
"181","sales","medium",3,0,0,146,2,47,40,1
"182","accounting","medium",4,0,0,261,6,84,10,1
"183","accounting","medium",5,0,0,257,5,99,89,1
"184","accounting","medium",4,0,0,285,6,80,11,1
"185","hr","medium",3,0,0,141,2,55,36,1
"186","hr","medium",3,0,0,127,2,46,40,1
"187","hr","medium",4,0,0,297,6,85,9,1
"188","hr","medium",3,0,0,143,2,46,40,1
"189","technical","medium",3,0,0,152,2,55,37,1
"190","technical","high",3,0,0,156,2,51,44,1
"191","technical","low",5,0,0,283,7,80,9,1
"192","technical","medium",6,0,1,226,4,87,92,1
"193","technical","medium",5,0,0,232,4,91,74,1
"194","technical","medium",4,0,0,249,6,82,9,1
"195","technical","medium",5,0,0,275,4,95,89,1
"196","technical","low",4,0,0,304,6,80,9,1
"197","technical","low",3,0,0,278,7,54,27,1
"198","technical","low",4,0,0,287,6,91,10,1
"199","technical","low",4,0,0,285,7,89,10,1
"200","support","low",6,0,0,226,5,94,77,1
"201","support","low",5,0,0,259,5,82,90,1
"202","support","low",3,0,0,135,2,50,39,1
"203","support","low",5,0,0,219,5,100,76,1
"204","support","low",4,0,0,256,6,93,10,1
"205","support","low",6,0,0,254,5,90,87,1
"206","support","low",3,0,0,153,2,50,38,1
"207","support","low",5,0,0,228,5,99,77,1
"208","support","low",5,0,0,228,4,87,78,1
"209","support","low",3,0,0,128,2,50,44,1
"210","support","low",3,0,0,153,2,52,38,1
"211","technical","low",3,0,0,156,2,46,43,1
"212","technical","low",3,0,0,294,4,50,39,1
"213","technical","low",5,0,0,219,5,100,88,1
"214","management","low",3,0,0,153,2,46,45,1
"215","IT","low",3,0,0,151,2,53,40,1
"216","IT","low",3,0,0,155,2,51,36,1
"217","IT","low",3,0,0,158,2,48,36,1
"218","IT","low",5,0,0,245,5,98,90,1
"219","IT","low",3,0,0,131,2,53,43,1
"220","product_mng","low",5,0,0,225,5,87,89,1
"221","product_mng","low",4,0,0,286,6,84,10,1
"222","product_mng","low",3,0,0,135,2,50,37,1
"223","product_mng","low",3,0,0,153,2,51,37,1
"224","IT","low",5,0,0,252,5,90,87,1
"225","accounting","low",3,0,0,149,2,56,40,1
"226","accounting","low",5,0,0,258,4,97,90,1
"227","hr","low",3,0,0,158,2,46,37,1
"228","hr","low",3,0,0,149,2,54,44,1
"229","hr","low",5,0,0,236,5,95,85,1
"230","marketing","low",6,0,0,239,5,98,78,1
"231","marketing","low",3,0,0,159,2,47,42,1
"232","sales","low",6,0,0,255,5,99,92,1
"233","accounting","low",4,0,0,244,6,83,11,1
"234","support","low",3,0,0,134,2,56,42,1
"235","technical","low",4,0,0,270,4,57,48,1
"236","management","low",5,0,0,255,4,85,83,1
"237","marketing","low",3,0,0,151,2,53,40,1
"238","marketing","low",3,0,0,135,2,45,43,1
"239","marketing","low",3,0,0,146,2,53,43,1
"240","sales","low",4,0,0,254,7,97,10,1
"241","sales","low",4,0,0,289,7,87,10,1
"242","sales","low",3,0,0,156,2,46,37,1
"243","sales","low",3,0,0,156,2,53,38,1
"244","sales","low",3,0,0,128,2,50,40,1
"245","sales","low",5,0,0,275,5,86,89,1
"246","sales","low",3,0,0,155,2,46,45,1
"247","sales","low",3,0,0,159,2,48,37,1
"248","sales","low",3,0,0,148,2,49,46,1
"249","sales","low",5,0,0,228,4,91,87,1
"250","sales","low",4,0,0,298,6,84,11,1
"251","sales","low",5,0,0,261,5,87,79,1
"252","sales","low",6,0,0,254,5,92,79,1
"253","sales","low",3,0,0,192,7,59,19,1
"254","sales","low",5,0,0,248,4,98,87,1
"255","sales","low",5,0,0,258,2,92,60,1
"256","sales","medium",3,0,0,156,2,45,44,1
"257","sales","medium",4,0,1,266,6,81,11,1
"258","sales","medium",3,0,0,156,2,54,42,1
"259","accounting","medium",5,0,1,232,5,88,88,1
"260","accounting","medium",4,0,0,287,6,84,11,1
"261","accounting","medium",3,0,0,154,2,46,46,1
"262","hr","medium",5,0,0,263,5,97,82,1
"263","hr","medium",3,0,0,131,2,56,44,1
"264","hr","medium",4,0,0,260,6,78,11,1
"265","hr","medium",3,0,0,139,2,50,42,1
"266","technical","medium",5,0,0,251,4,93,84,1
"267","technical","medium",4,0,0,286,6,95,11,1
"268","technical","high",3,0,0,129,2,53,45,1
"269","technical","low",3,0,0,156,2,56,38,1
"270","technical","medium",6,0,0,139,6,86,38,1
"271","technical","medium",3,0,0,127,2,51,44,1
"272","technical","medium",4,0,0,251,6,84,11,1
"273","technical","medium",5,0,0,270,5,93,81,1
"274","technical","low",4,0,0,296,6,96,9,1
"275","technical","low",4,0,0,254,6,90,11,1
"276","technical","low",6,0,0,238,5,95,81,1
"277","support","low",4,0,1,267,6,97,10,1
"278","support","low",6,0,0,229,5,89,74,1
"279","support","low",4,0,0,254,6,78,9,1
"280","support","low",4,0,1,233,4,81,82,1
"281","support","low",4,0,0,268,6,98,10,1
"282","support","low",3,0,0,301,3,56,27,1
"283","support","low",6,0,0,267,5,92,83,1
"284","support","low",4,0,1,289,6,93,10,1
"285","support","low",3,0,0,144,2,47,38,1
"286","support","low",3,0,0,148,2,56,40,1
"287","support","low",4,0,0,306,6,83,11,1
"288","technical","low",4,1,0,292,6,79,11,1
"289","technical","low",5,0,0,232,5,91,82,1
"290","technical","low",3,0,0,137,2,48,36,1
"291","management","low",3,0,0,128,2,46,40,1
"292","IT","low",5,0,0,231,5,84,87,1
"293","IT","low",3,0,0,146,2,49,41,1
"294","IT","low",4,0,1,308,6,91,11,1
"295","IT","medium",4,0,0,253,6,93,10,1
"296","IT","medium",3,0,0,146,2,51,38,1
"297","product_mng","medium",3,0,0,156,2,55,39,1
"298","product_mng","medium",3,0,0,147,2,52,40,1
"299","product_mng","medium",3,0,0,136,2,48,45,1
"300","product_mng","medium",5,0,0,249,5,84,74,1
"301","IT","medium",3,0,0,151,2,55,45,1
"302","other","medium",4,0,0,278,3,100,12,1
"303","other","medium",5,0,0,250,7,77,10,1
"304","other","medium",3,0,0,127,2,55,37,1
"305","other","medium",5,0,0,255,5,87,89,1
"306","other","medium",3,0,0,135,2,47,45,1
"307","marketing","high",3,0,0,149,2,46,37,1
"308","sales","low",4,0,0,287,5,81,11,1
"309","accounting","medium",3,0,0,145,2,48,41,1
"310","support","medium",4,0,0,285,6,94,10,1
"311","technical","medium",4,0,0,305,7,93,10,1
"312","management","medium",4,0,0,300,7,95,11,1
"313","marketing","low",3,0,0,139,2,54,40,1
"314","marketing","low",3,0,0,130,2,49,41,1
"315","marketing","low",4,0,0,268,6,81,10,1
"316","sales","low",6,0,0,245,4,86,73,1
"317","sales","low",3,0,0,135,2,47,43,1
"318","sales","low",3,0,0,153,2,46,37,1
"319","sales","low",4,0,0,276,6,94,11,1
"320","sales","low",3,0,0,130,2,46,40,1
"321","sales","low",3,0,1,153,2,54,41,1
"322","sales","low",5,0,0,244,5,84,82,1
"323","sales","low",3,0,0,253,2,47,61,1
"324","sales","low",4,0,0,287,7,91,11,1
"325","sales","low",3,0,0,131,2,45,37,1
"326","sales","low",3,0,0,135,2,52,41,1
"327","sales","low",3,0,0,157,2,52,37,1
"328","sales","low",6,0,0,262,5,99,88,1
"329","sales","low",4,0,0,266,6,85,10,1
"330","sales","low",3,0,0,148,2,48,44,1
"331","sales","low",3,0,0,140,2,57,38,1
"332","sales","low",4,0,0,302,7,85,11,1
"333","sales","low",4,0,0,271,6,98,9,1
"334","sales","medium",3,0,0,145,2,52,45,1
"335","accounting","medium",4,0,0,290,6,81,10,1
"336","accounting","medium",3,0,0,151,2,47,45,1
"337","accounting","medium",5,0,0,266,5,87,77,1
"338","hr","medium",3,0,0,140,2,51,44,1
"339","hr","medium",3,0,0,142,2,50,39,1
"340","hr","medium",4,0,0,246,6,91,10,1
"341","hr","medium",5,0,0,308,7,89,9,1
"342","technical","medium",3,0,0,141,2,47,37,1
"343","technical","medium",5,0,0,232,5,100,90,1
"344","technical","medium",3,0,0,143,2,56,41,1
"345","technical","medium",3,0,0,155,2,52,37,1
"346","technical","high",4,0,0,278,6,86,10,1
"347","technical","low",5,0,0,253,4,100,81,1
"348","technical","medium",4,0,0,282,6,80,11,1
"349","technical","medium",4,0,0,264,7,84,11,1
"350","technical","medium",3,0,0,149,2,46,40,1
"351","technical","medium",5,0,0,304,6,80,9,1
"352","technical","low",6,0,0,219,3,93,48,1
"353","support","low",6,0,0,262,4,91,91,1
"354","support","low",3,0,0,135,2,57,43,1
"355","support","low",5,0,0,219,6,88,33,1
"356","support","low",3,0,0,136,2,57,41,1
"357","support","low",3,0,0,154,2,55,41,1
"358","support","low",3,0,0,149,2,54,37,1
"359","support","low",5,0,0,135,6,62,31,1
"360","support","low",4,0,0,275,6,91,9,1
"361","support","low",4,0,0,290,6,87,10,1
"362","support","low",5,0,0,263,4,90,76,1
"363","support","low",3,0,0,145,2,54,41,1
"364","technical","low",5,0,0,267,5,96,72,1
"365","technical","low",3,0,1,141,2,50,40,1
"366","technical","low",5,0,0,235,4,87,91,1
"367","management","low",4,0,0,258,6,83,10,1
"368","IT","low",3,0,0,131,2,56,40,1
"369","IT","low",5,0,0,243,5,86,82,1
"370","IT","low",4,0,0,266,6,82,10,1
"371","IT","low",3,0,0,142,2,45,37,1
"372","IT","low",3,0,0,135,2,51,36,1
"373","product_mng","medium",3,0,0,141,2,48,39,1
"374","product_mng","medium",3,0,0,142,2,57,36,1
"375","product_mng","medium",5,0,0,254,5,84,86,1
"376","product_mng","medium",5,0,0,262,5,99,73,1
"377","IT","medium",2,0,0,296,4,71,56,1
"378","accounting","medium",3,0,0,158,2,56,44,1
"379","accounting","medium",2,0,0,238,4,56,31,1
"380","hr","medium",5,0,0,231,4,93,77,1
"381","hr","medium",3,0,0,156,2,45,44,1
"382","hr","medium",3,0,0,145,2,46,38,1
"383","marketing","medium",3,0,0,144,2,48,45,1
"384","sales","medium",3,0,0,159,2,51,38,1
"385","accounting","high",3,0,0,156,2,48,36,1
"386","support","low",5,0,0,256,5,90,75,1
"387","technical","medium",4,0,0,298,6,93,10,1
"388","management","medium",4,0,0,247,6,97,10,1
"389","marketing","medium",3,0,0,157,2,50,45,1
"390","marketing","medium",3,0,1,154,2,57,42,1
"391","marketing","low",5,0,0,253,4,100,78,1
"392","sales","low",3,0,0,148,2,55,45,1
"393","sales","low",5,0,0,261,4,100,84,1
"394","sales","low",4,0,0,282,6,93,11,1
"395","sales","low",3,0,0,133,2,56,42,1
"396","sales","low",3,0,0,128,2,46,45,1
"397","sales","low",3,0,0,139,2,57,46,1
"398","sales","low",5,0,0,293,6,79,9,1
"399","sales","low",6,0,0,265,4,83,87,1
"400","sales","low",4,0,0,250,6,87,10,1
"401","sales","low",6,0,0,251,5,100,91,1
"402","sales","low",5,0,0,246,4,92,76,1
"403","sales","low",5,0,0,275,5,100,74,1
"404","sales","low",5,0,0,240,5,93,92,1
"405","sales","low",5,0,0,245,5,87,76,1
"406","sales","low",4,0,0,254,4,50,47,1
"407","sales","low",5,0,0,241,5,99,73,1
"408","sales","low",4,0,0,257,6,94,9,1
"409","sales","low",5,0,0,246,4,92,91,1
"410","sales","low",5,0,0,233,4,98,82,1
"411","accounting","low",4,0,0,218,6,45,28,1
"412","accounting","medium",6,0,0,262,4,99,84,1
"413","accounting","medium",3,0,0,138,2,53,45,1
"414","hr","medium",3,0,0,142,2,54,45,1
"415","hr","medium",5,0,0,233,5,97,91,1
"416","hr","medium",3,0,0,155,2,48,42,1
"417","hr","medium",6,0,0,229,4,100,82,1
"418","technical","medium",4,0,0,264,6,90,11,1
"419","technical","medium",4,0,0,199,3,53,42,1
"420","technical","medium",5,0,0,223,4,85,82,1
"421","technical","medium",4,0,0,268,6,96,9,1
"422","technical","medium",4,0,0,287,6,94,10,1
"423","technical","medium",5,0,0,257,5,100,86,1
"424","technical","high",3,0,0,143,2,46,40,1
"425","technical","low",3,0,0,130,2,46,45,1
"426","technical","medium",3,0,0,136,2,51,42,1
"427","technical","medium",5,0,0,261,4,92,74,1
"428","technical","medium",4,0,0,180,3,60,55,1
"429","support","medium",3,0,0,126,2,45,37,1
"430","support","low",3,0,1,127,2,52,41,1
"431","support","low",6,0,0,195,5,65,89,1
"432","support","low",3,0,0,160,2,57,41,1
"433","support","low",3,0,0,150,2,51,44,1
"434","support","low",6,0,0,264,4,84,87,1
"435","support","low",4,0,0,309,6,84,10,1
"436","support","low",3,0,0,135,2,47,41,1
"437","support","low",4,0,0,261,6,85,11,1
"438","support","low",3,0,0,160,2,53,43,1
"439","support","low",5,0,0,237,4,90,77,1
"440","technical","low",3,0,0,136,2,52,41,1
"441","technical","low",3,0,0,139,2,48,41,1
"442","technical","low",4,0,0,151,2,78,36,1
"443","management","low",5,0,0,229,5,100,77,1
"444","IT","low",5,0,0,245,5,98,81,1
"445","IT","low",3,0,0,127,2,54,39,1
"446","IT","low",5,0,0,283,6,94,9,1
"447","IT","low",3,0,0,143,2,46,44,1
"448","IT","low",4,0,0,298,5,84,10,1
"449","product_mng","low",3,0,0,159,2,48,36,1
"450","product_mng","low",5,0,0,239,5,92,81,1
"451","product_mng","medium",5,0,0,226,4,90,81,1
"452","product_mng","medium",5,0,0,248,5,98,85,1
"453","IT","medium",4,0,0,286,6,87,10,1
"454","other","medium",3,0,0,145,2,54,37,1
"455","other","medium",4,0,1,254,7,97,9,1
"456","other","medium",3,0,0,127,2,53,44,1
"457","other","medium",5,0,0,223,5,93,86,1
"458","other","medium",5,0,0,255,4,100,77,1
"459","marketing","medium",3,0,0,136,2,48,41,1
"460","sales","medium",3,0,0,137,2,48,40,1
"461","accounting","medium",3,0,0,135,2,49,43,1
"462","support","medium",3,0,0,137,2,50,43,1
"463","technical","high",5,0,0,255,3,53,80,1
"464","management","low",5,0,0,273,4,85,80,1
"465","marketing","medium",5,0,0,234,5,98,82,1
"466","marketing","medium",3,0,0,152,2,54,37,1
"467","marketing","medium",3,0,0,134,2,48,37,1
"468","sales","medium",4,0,0,292,6,95,9,1
"469","sales","low",5,0,0,245,5,92,90,1
"470","sales","low",3,0,0,159,2,52,41,1
"471","sales","low",4,0,0,260,6,85,10,1
"472","sales","low",3,0,0,149,2,53,44,1
"473","sales","low",5,0,0,266,5,85,89,1
"474","sales","low",3,0,0,149,2,56,42,1
"475","sales","low",5,0,0,242,5,100,87,1
"476","sales","low",3,0,0,134,2,57,45,1
"477","sales","low",4,0,0,271,5,87,11,1
"478","sales","low",4,0,0,275,6,79,9,1
"479","sales","low",5,0,0,227,5,83,76,1
"480","sales","low",5,0,0,277,7,96,11,1
"481","sales","low",3,0,0,151,2,49,37,1
"482","sales","low",4,0,0,274,6,79,10,1
"483","sales","low",6,0,0,242,4,87,77,1
"484","sales","low",3,0,1,143,2,54,42,1
"485","sales","low",3,0,0,145,2,52,38,1
"486","sales","low",2,0,0,172,5,95,32,1
"487","accounting","low",3,0,0,135,2,49,38,1
"488","accounting","low",4,0,0,192,4,100,19,1
"489","accounting","low",4,0,0,276,7,83,10,1
"490","hr","medium",4,0,0,206,4,88,76,1
"491","hr","medium",6,0,0,281,4,56,53,1
"492","hr","medium",3,0,0,151,2,51,39,1
"493","hr","medium",4,0,0,244,6,83,11,1
"494","technical","medium",4,0,0,309,6,94,10,1
"495","technical","medium",5,0,0,218,5,100,84,1
"496","technical","medium",6,0,0,263,4,99,82,1
"497","technical","medium",4,0,0,244,6,82,10,1
"498","technical","medium",4,0,0,263,7,49,59,1
"499","technical","medium",3,0,0,143,2,48,44,1
"500","technical","medium",5,0,0,181,2,95,89,1
"501","technical","medium",5,0,0,265,5,84,91,1
"502","technical","high",5,0,0,161,5,57,66,1
"503","technical","low",5,0,0,282,7,87,11,1
"504","technical","medium",3,0,0,155,2,51,43,1
"505","support","medium",6,0,0,217,4,83,78,1
"506","support","medium",5,0,0,289,6,97,11,1
"507","support","medium",5,0,0,259,4,98,83,1
"508","support","low",3,0,0,158,2,54,39,1
"509","support","low",3,0,0,158,2,55,38,1
"510","support","low",3,0,0,155,2,57,37,1
"511","support","low",3,0,0,146,2,48,44,1
"512","support","low",5,0,0,164,2,85,53,1
"513","support","low",4,0,0,259,6,96,9,1
"514","support","low",4,0,0,293,6,89,11,1
"515","support","low",5,0,0,275,5,96,83,1
"516","technical","low",6,0,1,219,5,100,88,1
"517","technical","low",4,0,0,247,6,89,10,1
"518","technical","low",4,0,0,309,7,86,9,1
"519","management","low",3,0,0,151,2,54,44,1
"520","IT","low",3,0,0,129,2,51,39,1
"521","IT","low",5,0,0,274,4,94,87,1
"522","IT","low",5,0,0,233,4,99,74,1
"523","IT","low",4,0,0,289,7,95,10,1
"524","IT","low",6,0,0,239,4,82,74,1
"525","product_mng","low",5,0,0,221,5,99,75,1
"526","product_mng","low",3,0,0,150,2,56,41,1
"527","product_mng","low",3,0,1,144,2,45,41,1
"528","product_mng","low",4,0,0,289,7,90,9,1
"529","IT","medium",5,0,0,301,6,80,9,1
"530","accounting","medium",3,0,0,145,2,57,39,1
"531","accounting","medium",3,0,0,137,2,56,40,1
"532","hr","medium",3,0,1,131,2,54,37,1
"533","hr","medium",4,0,0,246,6,84,10,1
"534","hr","medium",3,0,0,136,2,51,43,1
"535","marketing","medium",6,0,1,240,5,85,75,1
"536","sales","medium",3,0,0,156,2,56,37,1
"537","accounting","medium",4,0,0,305,6,85,11,1
"538","support","medium",3,0,1,154,2,45,45,1
"539","technical","medium",5,0,1,261,5,100,87,1
"540","management","medium",4,0,0,244,7,94,11,1
"541","marketing","high",3,0,0,129,2,54,45,1
"542","marketing","low",5,0,0,254,4,87,81,1
"543","marketing","medium",5,0,0,236,5,91,77,1
"544","sales","medium",5,0,0,237,5,92,89,1
"545","sales","medium",3,0,0,135,2,49,43,1
"546","sales","medium",5,0,0,236,5,100,78,1
"547","sales","low",3,0,0,149,2,47,37,1
"548","sales","low",3,0,0,141,2,50,37,1
"549","sales","low",5,0,0,270,4,82,85,1
"550","sales","low",3,0,0,138,2,47,41,1
"551","sales","low",4,0,0,298,6,96,11,1
"552","sales","low",5,0,0,254,5,99,75,1
"553","sales","low",5,0,0,248,5,85,82,1
"554","sales","low",6,0,0,257,5,100,79,1
"555","sales","low",3,0,0,150,2,53,43,1
"556","sales","low",4,0,0,281,7,90,10,1
"557","sales","low",3,0,1,141,2,48,46,1
"558","sales","low",3,0,0,157,2,57,43,1
"559","sales","low",3,0,0,136,2,55,43,1
"560","sales","low",4,0,0,296,7,80,11,1
"561","sales","low",4,0,0,279,6,86,9,1
"562","sales","low",3,0,0,131,2,53,37,1
"563","accounting","low",3,0,0,160,2,57,40,1
"564","accounting","low",4,0,0,291,7,77,10,1
"565","accounting","low",3,0,0,157,2,53,41,1
"566","hr","low",4,0,0,294,3,58,79,1
"567","hr","low",4,0,0,310,7,79,11,1
"568","hr","medium",4,0,0,282,6,97,10,1
